"","Independence Day","The Patriot","The Day After Tomorrow","Pirates of the Caribbean: The Curse of the Black Pearl","Pretty Woman","Forrest Gump","The Green Mile","Con Air","Twister","Sweet Home Alabama","Pearl Harbor","Armageddon","The Rock","What Women Want","Bruce Almighty","Oceans Eleven","The Bourne Identity","The Italian Job","I Robot","American Beauty","How to Lose a Guy in 10 Days","Lethal Weapon 4","Shrek 2","Lost in Translation","Top Gun","Pulp Fiction","Gone in 60 Seconds","The Sixth Sense","Lord of the Rings: The Two Towers","Men of Honor","Gladiator","Lord of the Rings: The Fellowship of the Ring","Sister Act","Double Jeopardy","Two Weeks Notice","Troy","The Royal Tenenbaums","National Treasure","50 First Dates","Indiana Jones and the Last Crusade","My Big Fat Greek Wedding","Mystic River","Titanic","Dirty Dancing","Catch Me If You Can","Finding Nemo (Widescreen)","The Matrix","Kill Bill: Vol. 1","The Wedding Planner","The Shawshank Redemption Special Edition","The Last Samurai","John Q","Swordfish","The Bourne Supremacy","The Terminal","Men in Black II","Spider-Man 2","Braveheart","Men in Black","Ghost","Air Force One","Lord of the Rings: The Return of the King","Man on Fire","The Incredibles","Mr Deeds","Collateral","Spider-Man","Saving Private Ryan","Erin Brockovich","Monsters Inc.","Shrek (Full-screen)","The Silence of the Lambs","Memento","Tomb Raider","Ferris Buellers Day Off","Maid in Manhattan","Entrapment","Meet the Parents","Dodgeball A True Underdog Story","Rain Man","Patch Adams","Big Fish","Fight Club","S.W.A.T.","Good Will Hunting","A Few Good Men","Enemy of the State","The Generals Daughter","Minority Report","Somethings Gotta Give","Raiders of the Lost Ark","Anger Management","Sideways","Kill Bill: Vol. 2","American Pie","The Fast and the Furious","The School of Rock","Napoleon Dynamite","The Notebook"
"11",5,5,3,4,5,5,4,4,5,5,5,5,5,5,3.8,3,5,5,4,3,5,5,4,4.8,5,4.45833333333333,4,5,4.33333333333333,5,4,4.33333333333333,4,5,5,4.33333333333333,4,5,4.8,5,5,4.53333333333333,5,4,4.33333333333333,5,4.45833333333333,4.45833333333333,5,5,4,4,4.5,3,4.53333333333333,4,4.33333333333333,5,4.33333333333333,5,5,4.33333333333333,5,4,3,4.5,4.33333333333333,5,4,3,5,4.5,4.5,3,3.8,4,4,5,3.8,5,4,4,4.45833333333333,5,4,5,4,4.5,4.45833333333333,5,5,3.8,4.53333333333333,4.45833333333333,3.8,4,3,3.8,5
"12",4,4,3,3,4,5,4,3,4,3,4,3,4,4,3,3,3,3,3,4,3,3,3,3,5,4,3,4,4,4,4,5,3,3,3,3,4,2,3,3,4,4,4,4,3,4,4,3,4,3,3,4,3,3,3,2,3,4,4,4,4,4,3.44827586206897,4,3,2,3,4,4,4,4,4,3,3,4,3,3,4,2,4,4,2,4,2,4,3,3,3.25,3,3,3,2,3,3,3,4,3,2,3.70588235294118
"13",4,3,4,3,4,4,4,3,4,3,4,3,4,3,3,4,4,5,4,3,3,4,4,3.5,4,3,4,4,5,4,4,5,3,4,3,4,2.85714285714286,5,3.5,4,4,4,4,4,3,5,4,1,3,5,4,3,4,4,4.125,3,4,4,4,4,4,5,4,4,2,3.875,3,5,5,4,4,5,4,4,4,4,4,1,2.85714285714286,3,4,4,3,3,5,4,3,3,4,4,4,2.85714285714286,4.125,3.72413793103448,4,4,3,2.85714285714286,5
"14",5,5,4,3,3,4,5,4,3,4,5,3,3,4,3,3,4,4,4,3,4,3.85185185185185,5,3,4,3.85185185185185,3,4,4,4,4,3,4,4,3,4,1,4,5,3,4,4,4,3,4,5,3,3,3,5,5,4,4,4,3,2,4,5,4,4,3,5,4,5,4,4,3,5,4,5,4,5,2,3,4,3,3.75,3,3,4,4,3,3.85185185185185,4,3,4,4,4,3,3,4,3,3.9375,3,3,4,4,3.2,3.9375
"15",5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,3,5,5,5,4.81818181818182,5,2,4,5,5,5,3,4,5,5,5,5,2,5,5,5,4,4,4,5,4,5,5,2,5,4,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,3,4,5,5,5,3,4,2,4.76923076923077,4,5,4,4,5,5,5,2,1,5,5,5,4,4,4,4,5,5,4.41176470588235,4.41379310344828,3,5,4,4.2,5
"16",4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,3,3.36363636363636,3,3.57142857142857,4,3,2,3.375,3,3.36363636363636,2,4,5,3.57142857142857,3.36363636363636,5,1,4,3.375,3,2.71428571428571,4,3,4,3,4,3,3.375,4,4,3.36363636363636,3.36363636363636,3,4,3,4,3.6,3.36363636363636,4,4.15384615384615,4,3,4,1,3,5,4,3,3,3.6,4,4,4,3,3,4,3.6,4,3,3,3.6,4,2,4,3,4,2,3,4,3.57142857142857,4,3,3.36363636363636,3.375,4,2.71428571428571,3.57142857142857,3.36363636363636,3,3,2.71428571428571,2.71428571428571,4
"17",4,4,2,5,4,5,5,3,4,4,4,3,3,4,4,4,4,5,3,4,4,3.85714285714286,4,3.63636363636364,4,3,4,5,4,4,4,4,3,3,4,3,2,3,2,5,4,3,5,4,4,5,5,3,4,5,5,3,4,5,4.1875,3,4,5,4,4,4,4,4,4,2,3,4,5,5,5,5,4,3,3,4,4,4,5,4,4,3,3,4,3,5,4,4,3,4,2,5,3.33333333333333,4.1875,3.85714285714286,3,3,3,3.33333333333333,3
"18",4,5,4,5,5,5,5,4,4,4,5,5,5,4,4.33333333333333,4.35,4.35,4.35,4,4.78571428571429,5,4,4.40983606557377,4.3,4,4.35,4.35,5,4,5,5,4,4,5,4,4,4.33333333333333,5,5,4,4,4.78571428571429,5,4,4,4.40983606557377,4,3,4,5,5,5,4,4,4,3,4,5,4,5,4,4,5,4.40983606557377,4,4,4,5,3,4.40983606557377,4.40983606557377,5,4.375,3,4.33333333333333,4,4,5,4.33333333333333,5,5,4.78571428571429,4.35,4.35,5,5,4.35,4,4.35,4.3,4,4.33333333333333,4.78571428571429,3,4.33333333333333,4.35,4.33333333333333,4.33333333333333,5
"19",4,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,4,4.48,4.8,4.44444444444444,4,5,4.44444444444444,5,4,4,4.48,5,4,5,5,5,4,5,5,4.33333333333333,5,4,4,5,4,5,4,3,5,5,4.48,4,5,4,4,3,4,5,3,4,5,4,5,4,5,4,5,4,4,4,5,5,5,5,5,4,4,4,4,4,5,4,5,4,4.8,4,4,5,5,4.48,4,4,4.44444444444444,4,4,4.8,4.48,5,4,4,4.33333333333333,5
"20",4,5,4,4,4,4,5,3,4,4,3,4,5,3,4,4,4,2,4,5,3,4,4,3,4,3,3,5,4,4,4,4,4,3,3,5,2,3.76923076923077,3.7,4,3,4,4,5,3,5,5,4,3.7,4.21428571428571,3,3,3,3.8,4.21428571428571,4,3,5,4,3,4,3,3.8,4.75,4,4,4,5,4,5,5,3,2,3,3.5,4,3,3.5,3.5,4,4,3,2,3.8,5,4.21428571428571,4,2,3,5,4,3,4.21428571428571,3.8,4,3.8,4,3,5
"21",5,5,5,4,5,5,4,4,5,4,3,5,5,5,3,5,5,4.55172413793103,4,3,4,5,3,4.18181818181818,5,4,3,5,5,5,5,5,4,4,4,3,2,5,3,5,5,1,5,4,3,3,5,3,4,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,4,3,4,5,4,4,3.75,5,5,4,5,4,4,4,5,4,3,3,5,5,5,5,5,2,3,4,4.30769230769231,3,4.17647058823529,3,5,5,4,1,5
"22",4,5,5,3,4,5,5,5,4,4,4,5,5,5,4,4,4,4.57692307692308,4,4.41176470588235,4,5,5,3,5,4.57692307692308,4,5,4.16666666666667,5,4,4,4,4,4,5,3.875,4,4,5,5,3,5,5,4,5,5,4.57692307692308,4,4,4,5,4,5,4,5,4,5,3,5,5,4.16666666666667,5,5,4,4,4,5,4,5,5,4,4.25,4,5,4,4,3,3.875,5,3,3,5,4,5,5,5,4,4,5,5,4,4,4.57692307692308,3,5,4,3.875,5
"23",3,4,3,3,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3.27272727272727,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,4,3,3,3,3,3,5,4,3,3,4,3,3,3,3,3.53333333333333,2,4,4,3,4,3,3,2,4,3,3,3,4,3,4,4,3,2,2,3,3,3,4,2,4,3.53333333333333,3.53333333333333,3,3,3,4,4,3,3,3,4,3,2,3,3.11111111111111,3,4,3.11111111111111,4
"24",4,4,3,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3.66666666666667,3,3,4,3.36363636363636,4,3,3,4,5,4,4,5,3,4,3,3,3.66666666666667,3.9,3,4,3,3.66666666666667,3,3,3.9,4,4,3,4,3,3,3,3.85714285714286,4,3.66666666666667,3,4,5,4,4,4,5,4,4,3.66666666666667,4,3.9,4,4,4,4,4,3.85714285714286,3,4,3,4,4,4,3.66666666666667,3,2,3.64285714285714,3.64285714285714,4,4,4,4,3,3,3.9,3.66666666666667,3.66666666666667,4,4,2,3.66666666666667,3.66666666666667,3.66666666666667
"25",4,4,4,5,3,4,5,4,4,3,3,4,4,4,3.16666666666667,4,3,5,5,3,3.22222222222222,4,3,1,3,4.12,5,5,5,5,4,5,4,4,3,3,1,5,3.22222222222222,5,4,3,3,4,4,4,5,4.12,4,5,4.12,4,3,4,5,5,3,4,4,4,3.5,4,3,4,3,4,4,4,4,5,3,3.5,2,4,4,3,4,4,3.16666666666667,4,5,4.06666666666667,4.12,4,4,4.06666666666667,4,3.5,5,3.22222222222222,5,3.16666666666667,3,4.12,3,5,3.16666666666667,3.16666666666667,4.06666666666667
"26",4,4,4,4,3,5,3,4,3,3,2,3,4,2,4,2,4,3,5,5,3,4,5,5,4,4,3,5,5,4,4,4,3,3,3,3,4,3,3,4,4,5,5,3,4,4.25,4,4,2,5,4,4,3,4,3,4,3,4,4,4,2,4,4,3,3,3,4,4,2,4,5,4,4,4,5,3.18181818181818,4,2,2,5,4,5,5,4,5,4,4,3.375,3,4,5,4,4,4,3,3,3,3,4
"27",5,5,2,5,3,5,5,5,5,4,4,5,5,4,5,5,5,5,4,4.4,3,5,5,3,4,2,3,5,5,5,5,5,4,4,4,4,4.14285714285714,4,5,5,4,3,5,5,4.61538461538461,5,5,3,3,5,4,5,3,5,5,5,4,5,5,4,4,5,4,5,3,4,5,5,4.4,5,5,4,2,3,5,3,4,5,4.14285714285714,4,4,5,4.20689655172414,4,5,3,4,3,4,4,5,4,4.4,3,3,2,4.14285714285714,4.14285714285714,3
"28",4,4,4,4,3,4,4,4,3,3,3,3,4,3,2,3.60869565217391,3,4,5,4,3.4,3,4.5,5,4,3,3.60869565217391,4,4,3.6875,4,4,3,2,3.4,3.5,3,1,3.4,5,3.4,3,2,3.4,3,5,3,2,3.4,4,3.60869565217391,3.33333333333333,3,3.60869565217391,3.6875,3,3,5,4,3,3.33333333333333,3,4,4,3,3,3.5,3.60869565217391,3,4.5,4.5,5,4,3,3,3.4,3.33333333333333,3,3,4,3,4,4,4,4,4,3.60869565217391,3,3,3,5,3,4,3.60869565217391,3,4,4,3,4
"29",4,5,5,5,4,4,4,4,3,3,3,3,4,4,4,4,5,5,2,3,4,4,5,3.72727272727273,4,3,3,4,4,3,3,3,4,4,4,4,2,4,3,3,4,5,4,4,4,5,4,2,4,5,5,4,3,3,4,3,5,5,3.84615384615385,3,3,3,5,3,4,4,5,3,4,2,3,4,1,3,4,3,3,4,2,5,3,4,3,3,4,4,3,3,4,4,4,3,2,3,3,3,3,2,3.88235294117647
"30",3,4,3,4,3,4,5,4,2,4,5,3,3,4,1,3.54166666666667,4,4,3,5,3.625,3,4,4,4,4,3.54166666666667,4,4,3,3,5,3,4,3,3.75,2,4,3.625,5,4,4,4,3,4,4,4,2,3.625,4,4,3.75,4,4,3,1,3,4,3,3,4,3,4,4.33333333333333,2.85714285714286,4,4,4,4,4.33333333333333,5,4,4,3.75,4,3.625,3,4,2.85714285714286,4,4,4,3.54166666666667,3.54166666666667,4,5,4,3,3,4,5,3,4,3.54166666666667,2.85714285714286,3.54166666666667,2.85714285714286,3,4
"31",4,4,5,5,4,5,4,4,5,3,4,4,4,4,3.5,2,3.96,3.96,4,3,3.75,4,5,3.75,4,3,3,4,4.25,5,5,4,4,3.75,4,4,3.5,5,3.75,4,3,3.90909090909091,4,4,4.25,5,5,3,4,4,5,3.75,4,5,3.90909090909091,3,5,4,4,4,4,4,3.96,5,3.5,3.75,4,4,3,4,4,3,3.75,4,3.5,4,3.75,3,3.5,3.90909090909091,3.90909090909091,3.90909090909091,3.96,4,3.90909090909091,4,4,4,2,3.75,5,3.5,3,4,3.5,3.96,3.5,3.5,3.90909090909091
"32",5,4,3,4,5,5,5,5,4,3,5,5,5,4,4,5,4,5,4,4.3125,2,5,5,4,5,4.33333333333333,4,5,5,4,5,5,5,5,4,5,3,4.46153846153846,4,5,4,4,5,5,4,5,4,2,3,5,5,5,4,4,4,3,4,5,5,5,5,5,4.33333333333333,5,2,4,4,5,5,5,5,4,4.5,4,3.85714285714286,2,5,4,4,4,4,3,5,4,5,4,5,4,4.33333333333333,3.63636363636364,5,3.85714285714286,2,2,5,3,3.85714285714286,3.85714285714286,4.3125
"33",4,4,4,4,5,5,5,3,5,4,3,4,4,4,4,4,3.95,5,4,1,4,3.95,3,2,5,3.95,3,3.95,5,5,3.95,5,5,5,5,3,2,4,5,5,5,4,5,5,5,3,3.95,3.95,5,5,4,5,3,4,4,3,4,5,2,5,5,4,3,3,3,2,3,5,4,3,3,3.83333333333333,3.83333333333333,4,3.57142857142857,4,3.83333333333333,4,3.57142857142857,4,5,4,3.95,4,5,5,4,3,3,4,5,4,3,3.95,3.57142857142857,3.95,3,3.57142857142857,5
"34",4,4,3,5,4,5,4,3,3,4,4,4,3,3,4,4,3,4,4,4,3,4,3,3,4,3,3,5,5,4,4,5,3,3,4,4,3,4,4,4,4,3,5,3,3,4,5,4,3,5,4,4,3,4,4,3,3,5,4,4,3,4,3.68965517241379,5,4,3,4,5,3,4,4,5,4,2,5,3.45454545454545,3.57142857142857,4,3,4,4,4,4,3,4,3,3,3.57142857142857,4,3,5,3.6,3,3,5,2,3,2,4
"35",5,3,5,5,5,5,4,3,5,5,5,3,4,4,4,3.94444444444444,4,3.94444444444444,3.94444444444444,3,4,5,4,2,3.94444444444444,2,3,4,5,4,3.94444444444444,5,4,4,5,4.5,4.14285714285714,5,4,5,2,3,5,4,3,4,4,3.94444444444444,5,5,3.94444444444444,4,4,4,3,4,4.5,5,5,3,5,4,3.94444444444444,3,5,4,4,3.94444444444444,4,5,5,4,3,4,4,3,4,4,4.14285714285714,4,4,4,3.94444444444444,3.94444444444444,4,4,4,4,4,4,5,4,4,3.94444444444444,4,4,4.14285714285714,4.14285714285714,4
"36",5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,4.77272727272727,4.77272727272727,4,5,4,3,5,5,4.28571428571429,5,4.77272727272727,5,5,5,5,5,5,3.33333333333333,4,4.28571428571429,5,3.33333333333333,5,4,5,4.28571428571429,4,5,4.28571428571429,5,5,5,4.77272727272727,5,4.46153846153846,4.77272727272727,4,3,5,4.46153846153846,5,5,5,5,4.46153846153846,5,5,4,5,4,4,5,5,4.46153846153846,5,5,5,4,5,3.33333333333333,5,4,3.33333333333333,4,5,4,4.46153846153846,4.77272727272727,5,5,5,4.77272727272727,3,4,4.28571428571429,5,3,1,4.77272727272727,4,5,3.33333333333333,1,5
"37",5,5,3,4,5,5,5,4,5,4,5,4,5,4,3,4,4,4,3,2,4,4,4,2,5,1,3,4,4,4,4,3,3,4,3,5,2,3,3,4,3,3,5,4,4,5,3,3.96,5,4,3.96,4,4.125,3,4,3,4,4.46666666666667,4,5,5,4,5,5,3,3,3,5,5,4,3,5,2,3.76923076923077,4,4,5,2,2,5,5,4.46666666666667,3.96,3,5,5,5,5,3,4,4,3,4.46666666666667,3.96,2.75,3.96,2.75,2.75,5
"38",4,5,3,4,3,5,5,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,5,2,3,3,3,4,3.75,5,5,3,3,5,4,4,3.6,3.75,4,4,4,4,3,3,4,5,4,3,3,5,5,4,4,4,5,3,4,5,4,4,4,4,4,5,4,4,4,5,4,5,5,4,3,3,3,3,4,4,3,4,4,5,3,3,5,4,5,4,3,4,4,4,4.35294117647059,3,5,3,3,3,4
"39",4,3,4,4,5,5,4,4,3,2,3,3,4,2,3,4,4,4,3,5,3.28571428571429,4,4,3.28571428571429,3.59259259259259,4,3.59259259259259,4,4,4,4,4,3,3,3.28571428571429,4,2,3,4,4,3,4,4,5,3,5,4,4,2,5,5,3,2,4,4,2,4,5,4,5,3.375,4,3,4,2,4,4,4,3,5,5,5,3,2,5,3.28571428571429,4,4,3,5,5,4,2,2,5,4.4375,3,3,3,3.28571428571429,5,2,4.4375,4,5,3.59259259259259,3,4,4
"40",5,4,2,5,3,5,5,2,4,5,1,3,3,5,4,3,5,4,4,4,5,3,5,2,3,3,2,5,3.83333333333333,3,3,3.83333333333333,2,3,3,4,1,5,3.4,5,3,3.69230769230769,3.69230769230769,5,5,4,4,3.37037037037037,2,5,4,4,3,3.37037037037037,3.69230769230769,2,3,5,4,1,4,2,5,4,3,3,3,4,2,2,5,4,4,3,5,1,3,4,2,4,5,3,3,3,3,3.69230769230769,3,3,3,3.4,5,4,3.69230769230769,3.37037037037037,3.1,3,5,1,3
"41",5,4,3,3,3,5,5,4,4,4,4,5,5,4,4,3,3.76190476190476,3.76190476190476,3,4,3,4,3.33333333333333,3,4,3,4,5,4,3,5,3,3,4,3.63636363636364,3.92307692307692,3.42857142857143,4,5,5,3,3,3,4,4,3.33333333333333,3,3.76190476190476,4,5,3,3,3.5,3.76190476190476,4,4,3,5,4,5,4,3,3.76190476190476,3,3,3.5,4,3.76190476190476,3,3,4,5,3.5,5,4,3,2,4,3.42857142857143,4,4,4,3.76190476190476,2,4,3,3,3,3.76190476190476,4,5,3,4,3.76190476190476,3,3,3.42857142857143,3.42857142857143,4
"42",5,5,3,5,5,5,5,5,3,4,5,5,5,4,4,4,4,4,4,3,3,4,4,1,5,5,4,5,5,5,5,5,3,4,3,4,1,5,4,4.45454545454545,4,5,5,2,3,4,5,5,3,5,5,4,5,3,5,4,5,5,4.45454545454545,4,4,5,5,5,4,4,5,5,4,4.33333333333333,4.33333333333333,5,5,3,3.4,3,4,5,2,5,5,4,4,3,5,5,5,4,3,3,4.45454545454545,4,3,3,5,3,4,2,3
"43",3,5,3,3,4,5,5,5,3,2,1,4,1,4,4,5,3,3.80769230769231,5,5,1,4,5,3,5,4,5,5,5,4.78571428571429,5,5,1,4,3.375,5,5,5,5,5,3.375,5,4,4,5,5,5,3,3.375,5,5,3.85714285714286,1,4,4.78571428571429,3,5,5,4,5,4,5,3.80769230769231,5,5,4,5,5,5,5,5,5,5,4.61538461538461,5,3.375,4,4.2,5,5,4.78571428571429,5,3,3.80769230769231,5,3,3.80769230769231,3.85714285714286,5,4,5,4,4.78571428571429,1,3,2,5,5,5
"44",4,4,3,4,5,5,4,4,3,2,2,3,4,2,3,4,4,4,4,5,1,3.93103448275862,3,5,4,5,3,5,4,4,5,4,3,3.71428571428571,3,3,4,4,4,4,5,4,4,4,4,5,5,4,2,5,4,3,3,4,2,3,3,5,4,5,4,5,5,4,3.7,3,3.69230769230769,5,5,4,4,5,5,1,3,3.09090909090909,3.71428571428571,5,3,4,4.23529411764706,4,5,3,5,3,4,3,4,1,5,3,4,2,4,4,4,5,4
"45",5,5,5,3,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,2,4,4,4,1,5,5,5,5,5,5,5,5,1,5,3,4,2,4,5,4,4,5,4,2,4,5,5,4.64285714285714,3,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,4.875,5,5,3.63636363636364,5,5,5,5,3,4,4,4,5,5,5,5,4.64285714285714,4,4,4,2,4,5,4,3,4,4.35294117647059
"46",4,5,3,4,5,5,5,4,4,4,4,4,4,3,3,4,5,4,3,3,4,3,3,1,4,4,5,4,5,3,5,5,3,5,2,3,1,5,3,5,3.09090909090909,3,5,4,4,5,4,2,2,5,3,4,4,5,1,1,4,5,3,4,2,5,5,5,2,2,4,4,3,4,4.25,5,2,4,4,3,4,4,4,3.76470588235294,4,3,4,2,5,4,2,4,3,3,5,3,1,2,3,2,4,5,5
"47",4,4,4,5,4,4,4,3,3,3,3,3,4,5,3,4,4,4,3,5,3,3.64,3,3,4,3,3,5,4.18181818181818,4,4,4.18181818181818,4,5,3,5,2,4,3,5,5,4,4,4,5,4,4,3.64,3,5,3.64,4,3,4,4,3,4,5,5,4,4,4.18181818181818,4,4,3.1,4,3,4,3,3,3,4,5,3,5,3,4,3,3,4,4,4.125,3,3.64,5,4,4,3,3,4,4,3,3,3.64,3,3,3,2,4.125
